
2		 paracetamol		 422		 123.000000
3		 abacavir		 34		 666.000000
122		 crocin		 432		 133.000000
7		 vicolin		 434		 4364.000000
1		 tylenol		 342		 31.000000
11		 vitamin		 112		 54.000000
21		 synthroid		 49		 2000.000000
111		 nexium		 7665		 545.000000
4		 amoxicilin		 434		 233.000000
13		 azithromy		 324		 100.000000
5		 ativan		 400		 23.000000
14		 azithromy		 325		 500.000000
15		 calcium		 50		 60.000000
121		 abacabir		 32		 553.000000
20		 homopethic		 43		 342.000000
51		 folicacid		 43		 55.000000
22		 cholera		 443		 600.000000
31		 disprin		 32		 32.000000
41		 paracetmol		 32		 44.000000
3523		 paracetamol		 424		 2324.000000
2222		 senthol		 50		 120.000000
2000		 vita100		 500		 120.000000
